what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,2.1.1.v20100917-1530,"org.eclipse.m2m.qvt.oml.runtime.ui",1300302571530
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,2.0.1.v20100917-1530,"org.eclipse.m2m.qvt.oml.common.ui",1300302571531
stopped,bundle,org.eclipse.m2m.qvt.oml.emf.util.ui,2.0.1.v20100524-1530,"org.eclipse.m2m.qvt.oml.emf.util.ui",1300302571531
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.ui",1300302571531
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v20100521-1847,"org.eclipse.emf.mapping.ecore2ecore.editor",1300302571532
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.completeocl.ui",1300302571532
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1300302571533
stopped,bundle,org.eclipse.papyrus.outline.emftree,0.7.2.v201101191114,"org.eclipse.papyrus.outline.emftree",1300302571534
stopped,bundle,org.eclipse.gmt.modisco.workflow.driver.atl,0.8.2.v201102100957,"org.eclipse.gmt.modisco.workflow.driver.atl",1300302571534
stopped,bundle,org.eclipse.m2m.atl.core.ui,3.1.2.v20110119-0755,"org.eclipse.m2m.atl.core.ui",1300302571535
stopped,bundle,org.eclipse.m2m.atl.adt.ui,3.1.2.v20110119-0755,"org.eclipse.m2m.atl.adt.ui",1300302571535
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.0.3.v20110302-0402,"org.eclipse.acceleo.compatibility.ui",1300302571535
stopped,bundle,org.eclipse.gmt.modisco.workflow.driver.acceleo,0.8.2.v201102100957,"org.eclipse.gmt.modisco.workflow.driver.acceleo",1300302571535
stopped,bundle,org.eclipse.acceleo.ide.ui,3.0.3.v20110302-0402,"org.eclipse.acceleo.ide.ui",1300302571536
